appid,precio,fecha,reseñas
1015350,0.99,"Feb 27, 2019",0
1015430,7.99,"Feb 14, 2019",0
1015430,5.16,"Feb 14, 2019",0
1015430,7.99,"Feb 14, 2019",0
1015480,14.99,"Dec 20, 2024",130
1015480,8.76,"Dec 20, 2024",130
1015480,14.99,"Dec 20, 2024",130
1015500,0.0,"Oct 21, 2019",3902
1015500,0.0,"Oct 21, 2019",3902
1015500,0.0,"Oct 21, 2019",3902
1015510,0.0,"Jun 24, 2019",0
1015510,0.0,"Jun 24, 2019",0
1015510,0.0,"Jun 24, 2019",0
1015620,0.0,"Jun 24, 2019",0
1015620,0.0,"Jun 24, 2019",0
1015620,0.0,"Jun 24, 2019",0
1015700,0.99,"Feb 18, 2025",0
1015700,0.84,"Feb 18, 2025",0
1015700,0.99,"Feb 18, 2025",0
1015790,7.49,"Apr 9, 2020",331
1015790,4.33,"Apr 9, 2020",331
1015790,7.49,"Apr 9, 2020",331
1015890,19.99,"Apr 13, 2021",499
1015890,11.4,"Apr 13, 2021",499
1015890,19.99,"Apr 13, 2021",499
1015920,5.19,"Jun 5, 2021",289
1015920,4.65,"Jun 5, 2021",289
1015920,5.19,"Jun 5, 2021",289
1015940,5.99,"Sep 17, 2020",225
1015940,4.84,"Sep 17, 2020",225
1015940,5.99,"Sep 17, 2020",225
1016000,9.99,"Feb 16, 2021",0
1016000,8.9,"Feb 16, 2021",0
1016000,9.99,"Feb 16, 2021",0
1016010,4.99,"Feb 20, 2019",0
1016010,3.85,"Feb 20, 2019",0
1016010,4.99,"Feb 20, 2019",0
1016020,0.0,"Jun 24, 2019",0
1016020,0.0,"Jun 24, 2019",0
1016020,0.0,"Jun 24, 2019",0
1016060,0.0,"Jun 24, 2019",0
1016060,0.0,"Jun 24, 2019",0
1016060,0.0,"Jun 24, 2019",0
1016100,9.99,"Feb 28, 2019",0
1016100,5.28,"Feb 28, 2019",0
1016100,9.99,"Feb 28, 2019",0
1016110,0.0,"Feb 7, 2019",0
1016110,0.0,"Feb 7, 2019",0
1016110,0.0,"Feb 7, 2019",0
1016120,0.0,"Aug 20, 2020",5312
1016120,0.0,"Aug 20, 2020",5312
1016120,0.0,"Aug 20, 2020",5312
1016180,14.99,"Oct 17, 2022",723
1016180,7.84,"Oct 17, 2022",723
1016180,14.99,"Oct 17, 2022",723
1016250,0.49,"Feb 1, 2019",163
1016250,0.31,"Feb 1, 2019",163
1016250,0.49,"Feb 1, 2019",163
1016350,0.0,"Feb 1, 2019",0
1016350,0.0,"Feb 1, 2019",0
1016350,0.0,"Feb 1, 2019",0
1016360,19.99,"Feb 2, 2023",354
1016360,13.93,"Feb 2, 2023",354
1016360,19.99,"Feb 2, 2023",354
1016420,4.99,"Feb 27, 2019",0
1016420,3.54,"Feb 27, 2019",0
1016420,4.99,"Feb 27, 2019",0
1016430,2.99,"Aug 1, 2019",0
1016430,2.35,"Aug 1, 2019",0
1016430,2.99,"Aug 1, 2019",0
1016600,14.99,"Apr 22, 2021",2701
1016600,10.81,"Apr 22, 2021",2701
1016600,14.99,"Apr 22, 2021",2701
1016610,1.99,"Mar 14, 2019",0
1016610,1.25,"Mar 14, 2019",0
1016610,1.99,"Mar 14, 2019",0
1016630,4.99,"Mar 14, 2019",0
1016630,2.81,"Mar 14, 2019",0
1016630,4.99,"Mar 14, 2019",0
1016690,9.99,"Feb 22, 2019",0
1016690,8.41,"Feb 22, 2019",0
1016690,9.99,"Feb 22, 2019",0
1016720,11.99,"Apr 18, 2019",115
1016720,6.23,"Apr 18, 2019",115
1016720,11.99,"Apr 18, 2019",115
1016730,19.99,"Jun 9, 2020",857
1016730,16.98,"Jun 9, 2020",857
1016730,19.99,"Jun 9, 2020",857
1016760,0.0,"Jun 18, 2019",0
1016760,0.0,"Jun 18, 2019",0
1016760,0.0,"Jun 18, 2019",0
1016770,1.29,"Dec 5, 2019",304
1016770,1.14,"Dec 5, 2019",304
1016770,1.29,"Dec 5, 2019",304
1016790,19.99,"Jun 18, 2020",1205
1016790,13.17,"Jun 18, 2020",1205
1016790,19.99,"Jun 18, 2020",1205
1016800,29.99,"Jul 28, 2021",12028
1016800,22.97,"Jul 28, 2021",12028
1016800,29.99,"Jul 28, 2021",12028
1016920,19.99,"Sep 23, 2020",13320
1016920,17.83,"Sep 23, 2020",13320
1016920,19.99,"Sep 23, 2020",13320
1016930,0.99,"Aug 14, 2019",676
1016930,0.77,"Aug 14, 2019",676
1016930,0.99,"Aug 14, 2019",676
1016940,15.99,"Jul 2, 2020",0
1016940,8.58,"Jul 2, 2020",0
1016940,15.99,"Jul 2, 2020",0
1016950,29.99,"Feb 23, 2023",3645
1016950,21.18,"Feb 23, 2023",3645
1016950,29.99,"Feb 23, 2023",3645
1016960,29.99,"Jun 20, 2019",860
1016960,16.2,"Jun 20, 2019",860
1016960,29.99,"Jun 20, 2019",860
1016980,19.99,"Oct 24, 2019",0
1016980,17.9,"Oct 24, 2019",0
1016980,19.99,"Oct 24, 2019",0
1017100,0.0,"Sep 10, 2019",0
1017100,0.0,"Sep 10, 2019",0
1017100,0.0,"Sep 10, 2019",0
1017160,6.24,"Oct 1, 2021",0
1017160,5.17,"Oct 1, 2021",0
1017160,6.24,"Oct 1, 2021",0
1017270,2.99,"Feb 28, 2019",0
1017270,2.51,"Feb 28, 2019",0
1017270,2.99,"Feb 28, 2019",0
1017340,0.0,"Sep 4, 2023",0
1017340,0.0,"Sep 4, 2023",0
1017340,0.0,"Sep 4, 2023",0
1017350,0.55,"Feb 1, 2019",0
1017350,0.44,"Feb 1, 2019",0
1017350,0.55,"Feb 1, 2019",0
1017520,0.99,"Mar 19, 2019",117
1017520,0.71,"Mar 19, 2019",117
1017520,0.99,"Mar 19, 2019",117
1017580,1.99,"Mar 22, 2019",0
1017580,1.52,"Mar 22, 2019",0
1017580,1.99,"Mar 22, 2019",0
1017590,0.0,"Jun 24, 2019",0
1017590,0.0,"Jun 24, 2019",0
1017590,0.0,"Jun 24, 2019",0
1017610,0.69,"Feb 21, 2019",0
1017610,0.57,"Feb 21, 2019",0
1017610,0.69,"Feb 21, 2019",0
1017630,1.99,"Mar 26, 2019",0
