steamid,game
76561198281128349,Counter-Strike: Condition Zero
76561198281128349,Counter-Strike: Condition Zero Deleted Scenes
76561198281128349,Half-Life: Blue Shift
76561198281128349,Half-Life 2
76561198281128349,Counter-Strike: Source
76561198281128349,Half-Life: Source
76561198281128349,Day of Defeat: Source
76561198281128349,Half-Life 2: Deathmatch
76561198015992850,10
76561198015992850,Team Fortress Classic
76561198015992850,Day of Defeat
76561198015992850,Deathmatch Classic
76561198015992850,Half-Life: Opposing Force
76561198015992850,Ricochet
76561198015992850,Half-Life
76561198015992850,Counter-Strike: Condition Zero
76561198015992850,Counter-Strike: Condition Zero Deleted Scenes
76561198015992850,Half-Life: Blue Shift
76561198015992850,Half-Life 2
76561198015992850,Counter-Strike: Source
76561198015992850,Half-Life: Source
76561198015992850,Day of Defeat: Source
76561198015992850,Half-Life 2: Deathmatch
76561197960366517,10
76561197960366517,Team Fortress Classic
76561197960366517,Day of Defeat
76561197960366517,Deathmatch Classic
76561197960366517,Half-Life: Opposing Force
76561197960366517,Ricochet
76561197960366517,Half-Life
76561197960366517,Counter-Strike: Condition Zero
76561197960366517,Counter-Strike: Condition Zero Deleted Scenes
76561197960366517,Half-Life: Blue Shift
76561197960366517,Half-Life 2
76561197960366517,Counter-Strike: Source
76561197960366517,Half-Life: Source
76561197960366517,Day of Defeat: Source
76561197960366517,Half-Life 2: Deathmatch
76561198043532513,10
76561198043532513,Team Fortress Classic
76561198043532513,Day of Defeat
76561198043532513,Deathmatch Classic
76561198043532513,Half-Life: Opposing Force
76561198043532513,Ricochet
76561198043532513,Half-Life
76561198043532513,Counter-Strike: Condition Zero
76561198043532513,Counter-Strike: Condition Zero Deleted Scenes
76561198043532513,Half-Life: Blue Shift
76561198043532513,Half-Life 2
76561198043532513,Counter-Strike: Source
76561198043532513,Half-Life: Source
76561198043532513,Day of Defeat: Source
76561198043532513,Half-Life 2: Deathmatch
76561198294806446,10
76561198294806446,Team Fortress Classic
76561198294806446,Day of Defeat
76561198294806446,Deathmatch Classic
76561198294806446,Half-Life: Opposing Force
76561198294806446,Ricochet
76561198294806446,Half-Life
76561198294806446,Counter-Strike: Condition Zero
